plot,Order,n,Richness,miu_mix,miu_mono,evenness_mix,evenness_mono,CorS_mono,NBE.F,SE,CE,CV.mix,CV.mono,CV.avg,CVS.mix,CVS.mono,phi.mix,phi.mono,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar,Exp
B3A04,New,6,8,437.4349333,189.345,0.5847552,0.964028871,0.450230723,2.310253417,0.462703904,0.847549513,0.616181258,0.446410935,0.713803675,0.778836582,0.629248906,0.791156029,0.709434582,0.386809323,-0.149085149,0.021467108,0.222186902,0.625397362,1.380300548,0.863236321,1.237724174,1.115192365,0.709434582,0.881543383,D
B3A04,Old,6,8,250.3699,82.238,0.593019088,0.864566713,0.169352634,3.044455118,0.763114561,1.281340557,0.417343498,0.331572221,0.657428147,0.540133965,0.513155374,0.772666643,0.646143913,0.016513066,0.036060858,0.194850963,0.235115368,0.504347468,1.258680526,0.634812336,1.052573925,1.195811996,0.646143913,0.780549747,D
B3A05,New,7,8,399.1498,186.397,0.514064863,0.906469492,0.421596346,2.141396053,0.11139446,1.030001593,0.453523578,0.729441602,1.034108374,0.609873916,0.959869097,0.743634982,0.759938625,-0.102226314,-0.262401719,0.220883182,-0.263330702,0.705382163,0.621740763,0.438564844,0.635371966,0.978546105,0.759938625,0.928209384,D
B3A05,Old,7,8,371.9652,72.8319,0.655394211,0.650810386,0.039905036,5.107174192,-8.60385131,12.7110255,0.347624381,0.108555735,0.86654646,0.803627745,0.300896029,0.432568914,0.3607749,0.476937076,1.193845084,1.346479912,-0.908880179,0.125273992,3.202266399,0.401160696,2.67078216,1.198999472,0.3607749,0.347235887,D
B3A07,New,6,8,368.816,138.11775,0.509037328,0.911193728,0.171399333,2.670301247,0.766753323,0.903547923,0.638294841,0.663876176,0.891433576,1.033325241,0.879486376,0.617709523,0.754845322,0.066483009,0.108435977,-1.042245195,0.711902571,0.74472871,0.961466707,0.71603186,1.174918986,0.81832596,0.754845322,0.986597767,D
B3A07,Old,6,8,221.9709,45.72275,0.628871615,0.763533646,0.075949528,4.854714557,0.063224669,3.791489887,0.137610885,0.234341954,0.797917532,1.147031825,0.485608287,0.119971287,0.482574042,1.107184566,0.254867022,-2.556326668,1.618132111,0.293691947,0.587222572,0.172462541,2.362051589,0.248607005,0.482574042,0.608594582,D
B3A09,New,11,16,440.0035,168.879125,0.593560511,0.952125767,0.411909955,2.605434508,0.278812416,1.326622092,0.33255774,0.465477244,0.732066547,0.820838362,0.666271616,0.405144003,0.698629857,0.349340845,-0.117353256,-0.62655075,-0.037151048,0.63584007,0.714444678,0.454272554,1.231987589,0.579912237,0.698629857,0.910124386,D
B3A09,Old,11,16,333.587,80.714625,0.202684006,0.862495032,0.133242054,4.13291891,2.073526353,1.059392557,0.285882243,0.289974595,0.765467523,0.367586835,0.511171134,0.777727101,0.56727498,0.41735371,-0.698246527,0.791668758,0.087938905,0.378820246,0.985887206,0.373474034,0.719107184,1.370987842,0.56727498,0.667789448,D
B3A11,New,4,4,426.1911,182.665,0.410565422,0.92488775,0.562677493,2.333184244,0.671128126,0.662056118,0.301064475,0.746359865,1.007173779,0.797799703,0.894798889,0.377368497,0.834109066,0.179001364,-0.287404701,-1.078396947,0.283081751,0.741043781,0.403377096,0.298920089,0.891596663,0.452421048,0.834109066,0.888425521,D
B3A11,Old,4,4,300.039,128.72965,0.077222569,0.778414025,0.115744069,2.330768397,1.130915577,0.19985282,0.32998247,0.321407469,0.780574937,0.374838758,0.422803921,0.880331777,0.760180909,0.6318738,-0.745319206,-0.17836889,0.51946172,0.411757352,1.026679534,0.422742846,0.886554594,1.158055624,0.760180909,0.541657054,D
B3A13,New,4,4,395.944,181.7895,0.248601831,0.812818292,0.399373155,2.178035585,0.520401073,0.657634512,0.30156069,0.456524294,0.765618516,0.347267648,0.589481756,0.86838118,0.774450251,-0.379018348,-0.031874958,0.22569451,0.031590552,0.596281678,0.660557815,0.393878523,0.589106694,1.121287234,0.774450251,0.769941875,D
B3A13,Old,4,4,291.7834,127.489,0.052227893,0.648036968,0.188398711,2.288694711,0.979625195,0.309069516,0.185384453,0.193581956,0.884936351,0.196911474,0.27982651,0.941460897,0.691792769,0.305227381,-0.601536104,0.306769746,0.545279528,0.218752407,0.957653579,0.209489025,0.703691277,1.36090017,0.691792769,0.316210889,D
B3A16,New,14,16,277.5901,106.95375,0.419028322,0.942398639,0.355278398,2.595421853,0.323693697,1.271728156,0.844753883,0.709687167,1.023431699,0.979311535,1.024663562,0.862599747,0.692605059,-0.142954124,0.098693717,-0.349091463,0.900218379,0.693438719,1.190318667,0.825413053,0.955739593,1.245442458,0.692605059,1.001203659,D
B3A16,Old,14,16,385.0784,50.6932625,0.41015445,0.894587456,0.061928855,7.596244175,-5.256950584,11.85319476,0.358939891,0.240156232,0.718730534,0.521556195,0.600117532,0.688209429,0.400181996,0.048673695,-0.179583613,0.828771927,1.128737556,0.334139459,1.494609941,0.499408157,0.869090081,1.719741109,0.400181996,0.834968746,D
B3A20,New,4,8,542.22,252.821,0.558942468,0.801247297,0.499371268,2.144679437,0.380890046,0.763789391,0.630933231,0.738516499,0.964686082,0.77601328,0.81314702,0.813044374,0.908220138,-0.024395885,-0.021270813,0.053280246,-0.251885958,0.765551107,0.854325167,0.654029578,0.954333301,0.895206283,0.908220138,0.842913601,D
B3A20,Old,4,8,356.639,71.833825,0.204476467,0.658994395,0.186649935,4.964778083,1.523029453,2.441748631,0.490045236,0.357037805,0.751350778,0.560203154,0.517215708,0.874763437,0.690307349,0.25795253,-0.174839344,0.028563959,0.577253776,0.475194563,1.372530387,0.652218977,1.083113186,1.267208639,0.690307349,0.688381144,D
B3A21,New,2,2,361.0085,277.783,0.307637974,0.868418461,0.826580087,1.299606167,-0.869767988,1.169374155,1.315423209,0.813214784,0.923545577,1.325591124,0.848484688,0.992329524,0.958431891,0.286625502,0.275678619,0.003222905,0.068763587,0.880535627,1.617559389,1.424318672,1.562304121,1.035367805,0.958431891,0.918725301,D
B3A21,Old,2,2,135.091,30.1316,0.959919879,0.91464374,-0.502741669,4.4833663,-0.182960174,3.666326474,0.57073113,0.43910948,0.877879786,0.584413971,0.832386732,0.976587074,0.527530609,-0.314906435,0.017000723,2.353060991,0.074037735,0.500193178,1.299746773,0.650124469,0.702094289,1.851242482,0.527530609,0.948178492,D
