Richness,plot,Order,SPEI_mean,Driest,NBE,NIIE,NIIE.Syn,NIIE.SpVar,NIDE,NIDE.SpVar,NIDE.Syn
16,B2A10,15,-0.071427333,-0.440715583,-0.186296337,-0.041687692,-0.004410945,-0.118195051,-0.56873237,-0.06249203,-0.427412371
16,B2A18,1,0.518395017,-0.623814083,-0.13224482,-0.145012756,-0.146759521,0.008293722,-0.015736761,-0.28169384,0.111317361
16,B2A18,2,0.481813883,-0.623814083,0.082366442,0.111994335,0.077351815,0.083399848,-0.071671194,-0.064860747,-0.040607429
16,B2A18,3,0.201212317,-0.623814083,-0.119536393,0.095781915,0.065868378,0.082298801,-0.395358266,0.097215565,-0.347223282
16,B2A18,4,0.1530159,-0.623814083,-0.052227633,0.16885326,0.165632113,0.060912236,-0.399756272,0.005130144,-0.327919629
16,B2A18,5,0.469598267,-0.623814083,-0.044186927,0.025930146,0.030037465,0.022552462,-0.236441699,-0.122918495,-0.127833276
16,B2A18,6,0.484303917,-0.550285833,-0.172684621,-0.214968108,-0.245759585,-0.028454986,0.055360952,-0.493915521,0.6578248
16,B2A18,7,0.102059667,-0.550285833,-0.184572871,-0.178234084,-0.158390477,-0.124857432,-0.130873168,0.166512183,-0.202865487
16,B2A18,8,0.1212659,-0.550285833,0.04899459,-0.085486324,-0.05652628,-0.082144768,0.321779542,0.105733674,0.180026057
16,B2A18,9,-0.23300125,-1.2581535,-0.001831457,0.088251369,0.134947586,-0.02433914,-0.294601538,-0.044617803,-0.207293379
16,B2A18,10,-0.753896933,-1.549352083,-0.009540259,0.120409688,0.112674001,0.053570107,-0.371715772,-0.223823858,-0.138237793
16,B2A18,11,-0.66072695,-1.549352083,0.028320566,-0.043980036,-0.046656526,-0.029084956,0.150692785,-0.24551774,0.470725455
16,B2A18,12,-0.659007883,-1.549352083,0.161260166,-0.004589957,-0.011947516,-0.004454508,0.403313448,0.030754477,0.352118431
16,B2A18,13,-0.63677245,-1.549352083,-0.155817932,0.010213622,0.050096902,-0.071326197,-0.560742526,0.054980755,-0.484181286
16,B2A18,14,-0.40832675,-1.549352083,-0.240135975,-0.001854438,-0.008408915,-0.014889894,-0.807804574,0.058624185,-0.695708573
16,B2A18,15,-0.071427333,-0.440715583,-0.219861912,0.029987084,-0.001400751,0.040823436,-0.80047804,0.091731843,-0.700143192
16,B2A22,1,0.518395017,-0.623814083,-0.194599309,0.066605078,0.047611156,0.046757376,-0.313021882,-0.527965896,-0.027728275
16,B2A22,2,0.481813883,-0.623814083,-0.200057369,0.258948679,0.231887962,0.082149725,-0.539003635,-0.325987357,-0.324277245
16,B2A22,3,0.201212317,-0.623814083,0.077644133,0.102583706,0.023773585,0.152600658,-0.10005477,0.084323586,-0.134044762
16,B2A22,4,0.1530159,-0.623814083,0.044168119,0.047080857,-0.004124788,0.110423312,-0.090822209,0.078253065,-0.127240924
16,B2A22,5,0.469598267,-0.623814083,0.063584042,-0.019848464,-0.093850335,0.144197342,0.081551331,0.211032185,-0.074856839
16,B2A22,6,0.484303917,-0.550285833,-0.007518845,-0.032902929,-0.125193998,0.181312871,-0.04362376,0.034182628,-0.062181973
16,B2A22,7,0.102059667,-0.550285833,0.031168594,-0.154937321,-0.242094378,0.149879766,0.580875207,-0.131079088,0.651066055
16,B2A22,8,0.1212659,-0.550285833,0.001160571,-0.036858208,-0.062608152,0.034917256,0.002763818,-0.05654042,0.057832857
16,B2A22,9,-0.23300125,-1.2581535,-0.060439418,0.090936525,0.098357484,0.026036345,-0.421399401,-0.060768889,-0.310228111
16,B2A22,10,-0.753896933,-1.549352083,-0.113920551,0.163993361,0.251899112,-0.042203293,-0.629192356,-0.213027021,-0.419215879
16,B2A22,11,-0.66072695,-1.549352083,-0.061163924,0.220001732,0.252703193,0.031911277,-0.603653288,-0.326262087,-0.303609598
16,B2A22,12,-0.659007883,-1.549352083,0.037850575,0.291898582,0.292809817,0.084160247,-0.524660668,-0.303849434,-0.217729491
16,B2A22,13,-0.63677245,-1.549352083,0.321952094,-0.113600655,-0.180603345,0.048105442,1.952815702,0.159472702,1.428462561
16,B2A22,14,-0.40832675,-1.549352083,0.607738684,-0.086464112,-0.162764909,0.084128562,2.906114587,0.439978689,1.609872064
16,B2A22,15,-0.071427333,-0.440715583,0.453990065,0.025233686,-0.020154101,0.064438574,1.194568049,0.271571989,0.703293339
16,B3A09,1,0.518395017,-0.623814083,0.314036595,0.160664241,0.126127923,0.06718958,0.213972998,-0.069767108,0.173395166
16,B3A09,2,0.481813883,-0.623814083,0.199968105,0.237369349,0.226847993,0.063629425,-0.058243161,-0.093881459,-0.01566335
16,B3A09,3,0.201212317,-0.623814083,0.213171252,-0.071536839,-0.036714832,-0.038832917,0.5003673,0.104162985,0.27724715
16,B3A09,4,0.1530159,-0.623814083,-0.088437101,-0.004535245,0.045457762,-0.042626879,-0.258637232,-0.292276772,-0.042462657
16,B3A09,5,0.469598267,-0.623814083,-0.085199219,-0.021103839,-0.002316504,-0.012611688,-0.24230798,-0.582524431,0.354501044
16,B3A09,6,0.484303917,-0.550285833,-0.052901293,-0.308101393,-0.352480013,-0.082305867,1.653223844,-0.391198454,2.372263909
16,B3A09,7,0.102059667,-0.550285833,-0.025280887,-0.206884311,-0.253802423,0.001830149,0.721656069,-0.242488065,0.975997582
16,B3A09,8,0.1212659,-0.550285833,-0.288504044,-0.228628358,-0.289511601,0.007726118,-0.415289249,-0.207911476,-0.214926669
16,B3A09,9,-0.23300125,-1.2581535,-0.280050524,-0.105149143,-0.122920664,-0.02353994,-0.700672077,-0.211785367,-0.499403024
16,B3A09,10,-0.753896933,-1.549352083,-0.248421112,-0.09027342,-0.082597067,-0.070088415,-0.6345283,-0.400337313,-0.290485131
16,B3A09,11,-0.66072695,-1.549352083,-0.159151049,-0.053218102,-0.05662335,-0.03367906,-0.42183952,-0.432449459,0.051815222
16,B3A09,12,-0.659007883,-1.549352083,-0.072337239,0.020232192,0.033667254,-0.023407115,-0.340660308,-0.4119138,0.153354383
16,B3A09,13,-0.63677245,-1.549352083,-0.058459983,0.047682524,0.133226354,-0.103589699,-0.367815483,-0.181885832,-0.145893052
16,B3A09,14,-0.40832675,-1.549352083,0.001215654,0.081072656,0.112674875,-0.024933828,-0.292127133,-0.424918209,0.285588906
16,B3A09,15,-0.071427333,-0.440715583,-0.027166583,0.0653131,0.126945699,-0.073961512,-0.330092465,-0.439240263,0.278234734
16,B3A16,1,0.518395017,-0.623814083,-0.097173889,0.021843306,0.03360898,0.007404286,-0.149969074,0.000862333,-0.108228253
16,B3A16,2,0.481813883,-0.623814083,-0.242047704,0.125148302,0.11575815,0.053599448,-0.527038611,-0.33842067,-0.308508369
16,B3A16,3,0.201212317,-0.623814083,-0.068986914,-0.156824379,-0.209447591,0.090735162,0.105055626,-0.054494752,0.095274804
16,B3A16,4,0.1530159,-0.623814083,-0.187439796,-0.101173668,-0.110399061,0.010769431,-0.321127989,0.045649326,-0.283483196
16,B3A16,5,0.469598267,-0.623814083,-0.239078931,-0.116075485,-0.113799461,-0.024872663,-0.456210476,0.023155139,-0.381813015
16,B3A16,6,0.484303917,-0.550285833,-0.0115855,-0.235034027,-0.265227224,-0.046118158,0.914049032,0.528977687,0.252082925
16,B3A16,7,0.102059667,-0.550285833,-0.012704253,-0.260569659,-0.2750886,-0.142372415,1.387727597,0.631722287,0.443753529
16,B3A16,8,0.1212659,-0.550285833,0.052413482,-0.114885199,-0.050758249,-0.154269835,0.478812712,0.558712879,-0.0177657
16,B3A16,9,-0.23300125,-1.2581535,0.126822364,0.100743747,0.132339868,-0.001505596,-0.05344923,0.382044506,-0.256449753
16,B3A16,10,-0.753896933,-1.549352083,0.152691515,0.266591858,0.275383006,0.06983266,-0.296517245,0.211169835,-0.347288705
16,B3A16,11,-0.66072695,-1.549352083,0.05441081,0.273076217,0.271105726,0.08332826,-0.468116442,-0.064201656,-0.343950666
16,B3A16,12,-0.659007883,-1.549352083,-0.058827213,0.298786959,0.267967509,0.121965928,-0.681454895,-0.268600216,-0.43029086
16,B3A16,13,-0.63677245,-1.549352083,0.292983784,0.041839142,-0.015659432,0.101550165,0.578330303,0.150730056,0.368290699
