block,plot,n,Order,T_mean,SPEI_mean,P_mean,Driest,miu_mix,miu_mono,evenness_mix,evenness_mono,CorS_mono,cov.mono,NBE.F,SE,CE,CV.mix,CV.mono,CV.avg,CVS.mix,CVS.mono,phi.mix,phi.mono,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,Richness,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar
B1,B1A02,5,10,9.902422496,-0.753896933,465.3,-1.549352083,333.6527,141.6728875,0.195912743,0.943885962,0.122992256,-0.706119842,2.355092113,0.220099431,1.134992683,0.501058803,0.295674922,0.476510869,0.551922798,0.456574243,0.907842192,0.647594399,0.506181476,-0.297346753,-0.115204068,1.080439377,8,0.620499849,1.694627327,1.051516001,1.208834723,1.401868506,0.647594399,0.958161236
B1,B1A02,5,11,10.07977113,-0.66072695,479.18,-1.549352083,364.3417,126.1845125,0.175655617,0.959878774,0.074220886,-0.436773015,2.887372569,0.312182164,1.575190405,0.426957917,0.268002796,0.510159259,0.476195242,0.496313724,0.896602653,0.539986671,0.550602169,-0.591137986,-0.174398226,1.931380408,8,0.525331631,1.593109938,0.836911043,0.959464183,1.660416268,0.539986671,0.972860367
B1,B1A02,5,12,10.40158828,-0.659007883,433.66,-1.549352083,398.4414,112.0045125,0.146568621,0.947051485,0.082819975,-0.609557355,3.557369173,0.708795315,1.848573858,0.3298458,0.348984615,0.583909568,0.364704162,0.562140539,0.904420171,0.620813818,0.27078078,-0.622003231,0.288936018,0.833417519,8,0.597668944,0.945158573,0.564891926,0.648777549,1.456829962,0.620813818,0.962718493
B1,B1A02,5,13,10.44274379,-0.63677245,405.7,-1.549352083,357.7553,92.938125,0.066567461,0.929075813,-0.110845727,-2.43320035,3.84939227,1.505637505,1.343754765,0.243574931,0.165215893,0.542673625,0.257782708,0.437950172,0.944884677,0.377248152,0.076696163,-0.488084205,0.367979781,4.905425859,8,0.304447987,1.474282689,0.448842398,0.588611958,2.504676754,0.377248152,0.807023138
B1,B1A02,5,14,10.50580274,-0.40832675,433.38,-1.549352083,316.874,84.78825,0.144223053,0.87813821,0.136984311,-4.409787169,3.737239535,1.658144794,1.079094741,0.266238499,0.236986555,0.638251989,0.380736329,0.430214334,0.699272644,0.550856948,0.362790286,-0.477798088,-0.119474832,0.730919557,8,0.371305628,1.123432927,0.417136968,0.884992198,1.269426928,0.550856948,0.67405091
B1,B1A02,5,15,10.3969538,-0.071427333,478.2,-0.440715583,345.16,82.4755,0.134064924,0.832510631,0.234589706,-6.466374522,4.185000394,2.129321381,1.055679013,0.174287701,0.228181433,0.656877603,0.307165712,0.34326328,0.567406108,0.664741749,0.578096666,-0.683256671,-0.661636255,0.390224401,8,0.347372832,0.76381193,0.265327513,0.894839995,0.85357375,0.664741749,0.522568099
B1,B1A03,5,1,9.781826021,0.518395017,524.6,-0.623814083,350.8190044,107.5351969,0.413158596,0.891292515,0.152745502,-1.299133662,3.262364459,1.201669755,1.060694705,0.394054888,0.317787218,0.681461641,0.442150565,0.633137606,0.891223304,0.501924409,-0.211637374,-0.090014334,-0.25346237,2.406262475,8,0.466331778,1.239996026,0.578249551,0.698348292,1.7756126,0.501924409,0.929087666
B1,B1A03,5,2,9.743528589,0.481813883,543.3,-0.623814083,350.626671,89.66172188,0.433024864,0.911766521,0.375821247,-0.201990392,3.910550274,1.250802773,1.659747501,0.394793126,0.571661849,0.825777518,0.475939833,0.816766297,0.829502172,0.699908714,-0.455075554,0.037787934,-0.479589895,0.884188569,8,0.692271025,0.69060604,0.478086551,0.58271238,1.185157658,0.699908714,0.989087593
B1,B1A03,5,3,9.733660157,0.201212317,553.4,-0.623814083,349.4403333,69.85349375,0.456310451,0.870111684,0.168217062,0.563107565,5.002474673,1.259749187,2.742725486,0.399065083,0.443240698,0.635359954,0.480703039,0.667605017,0.83016967,0.663926554,-0.258187856,-0.021771061,0.500839964,0.062644777,8,0.697621396,0.900334931,0.628092911,0.720041083,1.250393835,0.663926554,1.050750857
B1,B1A03,5,4,9.519113581,0.1530159,594.28,-0.623814083,332.8716667,63.35699375,0.524080993,0.879551303,0.266945261,0.341833329,5.253905638,1.244620371,3.009285267,0.474906419,0.491312387,0.670693909,0.603072808,0.69227532,0.787477752,0.709706634,-0.137064029,0.00820993,0.213134621,0.018037738,8,0.732543386,0.966607868,0.7080822,0.871145901,1.109582065,0.709706634,1.032177735
